example_id,world_id,proposition_id,paraphrase_id,split,label,pred_label,correct,template_id,template_family,lf_type,status,stop_reason,token_count,runtime_sec,sample_path,states_path,logits_path,error
eval_world_000000_prop_0000_para_00,eval_world_000000,eval_world_000000_prop_0000,para_00,eval,Unknown,Unknown,True,rel_v4,rel,rel,ok,eos_token,3,0.754,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_00/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_00/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_00/logits_summary.npz,
eval_world_000000_prop_0000_para_01,eval_world_000000,eval_world_000000_prop_0000,para_01,eval,Unknown,Unknown,True,rel_v5,rel,rel,ok,eos_token,3,0.403,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_01/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_01/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_01/logits_summary.npz,
eval_world_000000_prop_0000_para_02,eval_world_000000,eval_world_000000_prop_0000,para_02,eval,Unknown,Unknown,True,rel_v6,rel,rel,ok,eos_token,3,0.389,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_02/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_02/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_02/logits_summary.npz,
eval_world_000000_prop_0000_para_03,eval_world_000000,eval_world_000000_prop_0000,para_03,eval,Unknown,Unknown,True,rel_v7,rel,rel,ok,eos_token,3,0.397,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_03/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_03/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_03/logits_summary.npz,
eval_world_000000_prop_0000_para_04,eval_world_000000,eval_world_000000_prop_0000,para_04,eval,Unknown,Unknown,True,rel_v4,rel,rel,ok,eos_token,3,0.396,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_04/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_04/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_04/logits_summary.npz,
eval_world_000000_prop_0000_para_05,eval_world_000000,eval_world_000000_prop_0000,para_05,eval,Unknown,Unknown,True,rel_v5,rel,rel,ok,eos_token,3,0.402,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_05/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_05/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_05/logits_summary.npz,
eval_world_000000_prop_0000_para_06,eval_world_000000,eval_world_000000_prop_0000,para_06,eval,Unknown,Unknown,True,rel_v6,rel,rel,ok,eos_token,3,0.409,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_06/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_06/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_06/logits_summary.npz,
eval_world_000000_prop_0000_para_07,eval_world_000000,eval_world_000000_prop_0000,para_07,eval,Unknown,Unknown,True,rel_v7,rel,rel,ok,eos_token,3,0.394,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_07/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_07/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0000_para_07/logits_summary.npz,
eval_world_000000_prop_0001_para_00,eval_world_000000,eval_world_000000_prop_0001,para_00,eval,True,Unknown,False,attr_v4,attr,attr,ok,eos_token,3,0.396,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0001_para_00/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0001_para_00/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0001_para_00/logits_summary.npz,
eval_world_000000_prop_0001_para_01,eval_world_000000,eval_world_000000_prop_0001,para_01,eval,True,Unknown,False,attr_v5,attr,attr,ok,eos_token,3,0.405,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0001_para_01/sample.json,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0001_para_01/verdict_states.npz,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Gemma__gemma_3_4b_pt_eval20_raw_constrained/examples/eval_world_000000_prop_0001_para_01/logits_summary.npz,
